init_goal,time
wp11_wp10,1.262325787000008859e+00
wp11_wp12,1.243194258000585251e+00
wp11_wp13,1.285145884998200927e+00
wp11_wp14,1.279197248004493304e+00
wp11_wp15,1.274419161003606860e+00
wp11_wp16,1.291324573998281267e+00
wp11_wp17,1.286465776996919885e+00
wp11_wp18,1.286104145001445431e+00
wp11_wp19,1.275884856004267931e+00
wp11_wp21,1.279939339001430199e+00
wp11_wp22,1.287411837998661213e+00
wp11_wp23,1.281180601996311452e+00
wp11_wp24,1.291893363995768595e+00
wp11_wp25,1.255401137001172174e+00
wp11_wp26,1.272347776997776236e+00
wp11_wp27,1.260865634001675062e+00
wp11_wp28,1.273485497004003264e+00
wp11_wp29,1.280436991000897251e+00
wp11_wp30,1.277694645003066398e+00
wp11_wp31,1.288404211001761723e+00
wp11_wp32,1.274408243996731471e+00
wp11_wp33,1.261647378996713087e+00
wp11_wp34,1.263567968999268487e+00
wp11_wp35,1.274718852000660263e+00
wp11_wp36,1.277287034004984889e+00
wp11_wp37,1.277416862001700792e+00
wp11_wp38,1.303000364001491107e+00
wp11_wp39,1.285463259999232832e+00
wp11_wp40,1.283964611000556033e+00
wp11_wp42,1.275350947005790658e+00
wp11_wp43,1.329669341997941956e+00
wp11_wp44,1.263299213998834603e+00
wp11_wp45,1.251577023002028000e+00
wp11_wp46,1.259193662001052871e+00
wp11_wp47,1.283944954993785359e+00
wp11_wp48,1.266193011004361324e+00
wp11_wp49,1.244386248996306676e+00
wp11_wp50,1.246647836000192910e+00
wp11_wp51,1.244759547997091431e+00
wp11_wp52,1.238925767000182532e+00
wp11_wp53,1.250803899005404674e+00
wp11_wp54,1.249387073999969289e+00
wp11_wp55,1.249665210998500697e+00
wp11_wp56,1.252685216997633688e+00
wp11_wp57,1.248213484999723732e+00
wp11_wp58,1.248807541996939108e+00
wp12_wp1,1.253916690002370160e+00
wp12_wp2,1.245878032998007257e+00
wp12_wp3,1.254881587999989279e+00
wp12_wp4,1.263757581000390928e+00
wp12_wp5,1.262116015997889917e+00
wp12_wp6,1.251201967999804765e+00
wp12_wp7,1.252400987999862991e+00
wp12_wp8,1.248873582000669558e+00
wp12_wp9,1.254879656000412069e+00
wp12_wp10,1.242094196997641120e+00
wp12_wp11,1.226468943001236767e+00
wp12_wp13,1.283471025999460835e+00
wp12_wp14,1.258688107001944445e+00
wp12_wp15,1.249902590003330261e+00
wp12_wp16,1.254747913997562137e+00
wp12_wp17,1.254878283994912636e+00
wp12_wp18,1.266517158997885417e+00
wp12_wp19,1.255399490000854712e+00
wp12_wp21,1.255799675003800076e+00
wp12_wp22,1.261249538998526987e+00
wp12_wp23,1.261377754999557510e+00
wp12_wp24,1.258087643000180833e+00
wp12_wp25,1.240645279001910239e+00
wp12_wp26,1.254800131995580159e+00
wp12_wp27,1.245520463999127969e+00
wp12_wp28,1.269426733997534029e+00
wp12_wp29,1.260483895996003412e+00
wp12_wp30,1.267219553999893833e+00
wp12_wp31,1.253607699996791780e+00
wp12_wp32,1.251028079001116566e+00
wp12_wp33,1.248284932000387926e+00
wp12_wp34,1.245992228003160562e+00
